Spanish,English
de 14459520,of 14459520
que 14421005,that 14421005
no 12379505,no 12379505
a 9549646,to 9549646
la 9125471,the 9125471
el 7531226,the 7531226
y 7128745,and 7128745
es 6993497,It is 6993497
en 6817324,in 6817324
lo 6041793,I 6041793
un 5605577,one 5605577
por 4454673,by 4454673
qué 4166708,why 4166708
me 3927712,I 3927712
una 3846322,one 3846322
los 3069193,the 3069193
se 3058120,It is 3058120
te 3034375,I 3034375
con 3028045,with 3028045
para 2832100,for 2832100
está 2433246,It is 2433246
mi 2403204,my 2403204
pero 2369484,but 2369484
sí 2350514,Yes 2350514
si 2348665,If 2348665
bien 2045290,While 2045290
eso 2029720,that 2029720
su 2005512,its 2005512
las 2001203,the 2001203
yo 1915934,I 1915934
del 1647872,of the 1647872
como 1630651,as 1630651
aquí 1625090,here 1625090
tu 1618746,your 1618746
al 1549489,to the 1549489
más 1503527,more 1503527
le 1432173,le 1432173
esto 1297847,this 1297847
todo 1296897,all 1296897
ya 1115265,and 1115265
estoy 1092574,I am 1092574
ahora 1088174,now 1088174
muy 1086248,very 1086248
ha 1071928,He has 1071928
esta 1051900,this 1051900
así 1050332,and 1050332
vamos 1049315,let 1049315
algo 1039192,something 1039192
hay 1014288,there are 1014288
bueno 1012700,1012700 good
tengo 954371,"I have 954,371"
él 931487,he 931487
cuando 931329,"when 931,329"
estás 917354,"are 917,354"
sé 911639,"Be 911,639"
tú 906053,you 906053
nos 866968,we 866968
nada 863844,"nothing 863,844"
cómo 862349,"how 862,349"
este 858931,"this 858,931"
o 843972,or 843972
he 820376,I 820376
ser 819688,be 819688
tiene 807065,"It has 807,065"
puedo 806048,I can 806048
ella 800671,she 800671
quiero 798831,I 798831
hacer 794408,"to 794,408"
fue 781449,"was 781,449"
gracias 779503,thanks 779503
vez 767227,once 767227
era 765725,"was 765,725"
soy 745166,I am 745166
sólo 741588,"only 741,588"
todos 686692,all 686692
porque 685059,"because 685,059"
son 671394,"are 671,394"
tienes 670767,"have 670,767"
creo 651433,"I think 651,433"
voy 639418,I 639418
sabes 636739,you know 636739
estaba 636659,He was 636659
puede 631326,You can 631326
eres 630024,"are 630,024"
ese 624205,"that 624,205"
usted 618844,you 618844
entonces 609938,"then 609,938"
hola 601523,hello 601523
solo 590343,"only 590,343"
verdad 589565,"truth 589,565"
casa 587832,House 587832
tan 573916,"as 573,916"
quién 566465,who 566465
sus 562087,"its 562,087"
tiempo 556996,weather 556996
